language,country,status
Albanian,Albania,official and national
Albanian,Greece,minority
Albanian,Italy,protected minority
Albanian,Kosovo,official
Albanian,North Macedonia,official
Albanian,Montenegro,official in some municipalities
Albanian,Romania,recognized minority
Albanian,Serbia,language of provincial identity in some municipalities
Albanian,Slovenia,recognized minority
Albanian,Turkey,minority
Armenian,Armenia,official
Armenian,Azerbaijan,minority
Armenian,Cyprus,minority
Armenian,Georgia,minority
Armenian,Hungary,minority
Armenian,Iran,minority
Armenian,Iraq,recognized minority
Armenian,Israel,minority
Armenian,Jordan,minority
Armenian,Lebanon,language of national identity
Armenian,Poland,recognized minority
Armenian,Romania,recognized minority
Armenian,Syria,minority
Armenian,Turkey,minority
Armenian,Ukraine,recognized minority
Latgalian,Latvia,"unofficial, spoken in Latgale"
Latgalian,Russia,significant minority in Siberia
Latvian,Latvia,official
Lithuanian,Latvia,minority
Lithuanian,Lithuania,official
Lithuanian,Poland,"minority, majority in the city of Puńsk"
Breton,France,"minority language in  Brittany, but unofficial"
Cornish,United Kingdom,"minority language in  Cornwall, but unofficial"
Irish,Ireland,"minority, co-official with English"
Irish,United Kingdom,"significant minority in  England, as well as minority in the entire country 
and official in Northern Ireland"
Irish,United States,"significant minority, mainly in Chicago, New York and Massachusetts."
Irish,Canada,"significant minority, especially in Saint John and Miramichi, New Brunswick, 
as well as in  Prince Edward Island, and  Newfoundland and Labrador; also, 
a big community of Irish-speaking expats exists in both Quebec (see Irish 
Quebecers) and Ontario (see Permanent North American Gaeltacht)."
Irish,Australia,significant minority
Irish,New Zealand,significant minority
Manx,Isle of Man,"minority, very limited official use"
Scottish Gaelic,Canada,"significant minority, official in  Nova Scotia"
Scottish Gaelic,United Kingdom,official in  Scotland
Scottish Gaelic,United States,significant minority
Welsh,Argentina,significant minority in  Chubut
Welsh,United Kingdom,"spoken by about 20% of the population in  Wales and co-official with 
English there"
Welsh,United States,minority
Afrikaans,South Africa,co-official with 10 other languages
Afrikaans,Namibia,recognised minority; unofficial lingua franca
Afrikaans,United States,minority
Afrikaans,Netherlands,minority
Afrikaans,United Kingdom,minority
Afrikaans,Germany,minority
Afrikaans,Belgium,minority
Afrikaans,Australia,minority
Afrikaans,Argentina,minority
Alsatian,France,regional language in  Alsace
Danish,Denmark,official
Danish,Germany,"in  Schleswig-Holstein, official recognised minority language"
Danish,Faroe Islands,co-official alongside Faroese
Danish,Greenland,minority
Danish,Iceland,minority
Faroese,Faroe Islands,co-official with Danish
Faroese,Denmark,unofficial
Frisian,Denmark,minority
Frisian,Germany,official recognised minority language
Frisian,Netherlands,minority language in  Friesland
Icelandic,Iceland,official
Icelandic,Denmark,minority
"Low German
(Low Saxon)",Germany,"Niederdeutsch or more usual Plattdeutsch, recognized as regional 
language"
"Low German
(Low Saxon)",Netherlands,"Nederduits, recognized as regional language"
Luxembourgish,Luxembourg,co-official with French and German
Luxembourgish,Belgium,minority language in the Belgian Province of Luxembourg
Luxembourgish,Germany,"minority language in the German Regierungsbezirk Trier (""moselfränkisch"")"
Norwegian,Norway,"official, including Svalbard and Jan Mayen"
Scots,Scotland,significant minority in Scotland
Scots,Ireland,minority in Ireland
Scots,United States,significant minority
Scots,Canada,"significant minority, especially in Nova Scotia"
Swedish,Sweden,official
Swedish,Finland,co-official with Finnish.
Swedish,Åland Islands,official
Swedish,Estonia,minority
Dutch,Netherlands,official
Dutch,Belgium,co-official with French and German
Dutch,France,in French Flanders
Dutch,Germany,in Low Rhine Country
Dutch,South Africa,"spoken as minority, often used together
with daughter language Afrikaans"
Dutch,Namibia,
Dutch,Indonesia,historical language
Dutch,New Zealand,Minority
Dutch,Aruba,co-official with Papiamento
Dutch,Curaçao,co-official with English and Papiamento
Dutch,Sint Maarten,co-official with English
Dutch,United States,spoken in minority primarily in Michigan and Indiana
Dutch,Canada,Minority
Dutch,Suriname,official
Dutch,French Guiana,"unofficial, spoken in Saint-Laurent-du-Maroni"
English,Botswana,co-official with Tswana
English,Cameroon,co-official with French
English,Egypt,significant minority
English,Eswatini (Swaziland),co-official with Swati
English,Gambia,official
English,Ghana,official
English,Kenya,co-official with Swahili
English,Lesotho,co-official with Sesotho
English,Liberia,official
English,Malawi,official
English,Mauritius,"national language along with French, and other vernacular languages"
English,Namibia,official
English,Nigeria,official
English,Rwanda,co-official with Kinyarwanda and French
English,Seychelles,co-official with French and Seychellois Creole
English,Sierra Leone,official
English,South Africa,"co-official with 10 other languages: unofficially regarded as the 'main' 
language"
English,South Sudan,official
English,Uganda,co-official with Swahili
English,Zambia,official
English,Zimbabwe,official
English,Bahrain,unofficial
English,India,co-official with 21 other languages
English,Lebanon,significant minority
English,Pakistan,co-official with Urdu
English,Philippines,"co-official with Filipino, and with regional languages as auxiliary 
official languages"
English,Singapore,"co-official with Tamil, Mandarin, and Malay"
English,Bangladesh,de facto co-official with Bengali
English,Sri Lanka,de facto co-official with Tamil and Sinhala
English,Malaysia,"co-official with Tamil, Mandarin, and Malay"
English,Brunei,"co-official with Mandarin, and Malay"
English,Ireland,"co-official with Irish, see Hiberno-English"
English,Malta,co-official with Maltese
English,United Kingdom,"co-official with Welsh, see British English"
English,Antigua and Barbuda,official
English,Bahamas,official
English,Barbados,official
English,Belize,official
English,Canada,"co-official with French, see Canadian English"
English,Dominica,official
English,Grenada,official
English,Jamaica,"official, see Jamaican English"
English,Saint Kitts and Nevis,official
English,Saint Lucia,official
English,Saint Vincent and the Grenadines,official
English,Trinidad and Tobago,official
English,United States,"de facto, see American English"
English,Australia,"de facto, see Australian English"
English,Fiji,co-official with Fijian and Hindustani
English,Kiribati,co-official with Kiribati
English,Marshall Islands,co-official with Marshallese
English,FS. Micronesia,
English,Nauru,de facto
English,New Zealand,"co-official with Māori and New Zealand Sign Language; see also New Zealand 
English"
English,Palau,co-official with Palauan
English,Papua New Guinea,co-official with Tok Pisin and Hiri Motu
English,Solomon Islands,official
English,Vanuatu,co-official with Bislama and French
English,Guyana,official
English,Colombia,official in San Andrés and Providence Island
English,American Samoa,co-official with Samoan
English,British Indian Ocean Territory,de facto
English,Anguilla,official
English,Bermuda,official
English,British Virgin Islands,official
English,Cayman Islands,official
English,Christmas Island,official
English,Cook Islands,co-official with Cook Islands Māori
English,Falkland Islands,official
English,Gibraltar,official
English,Guam,co-official with Chamorro
English,Guernsey,official
English,Hong Kong,co-official with Cantonese
English,Isle of Man,official
English,Jersey,official
English,Montserrat,official
English,Norfolk Island,co-official with Norfuk
English,Northern Mariana Islands,co-official with Chamorro and Carolinian
English,Pitcairn Islands,co-official with Pitkern
English,Puerto Rico,co-official with Spanish
English,"Saint Helena, Ascension and Tristan da Cunha",official
English,South Georgia and the South Sandwich Islands,official
English,Turks and Caicos Islands,official
English,U.S. Virgin Islands,official
German,Austria,official
German,Germany,official
German,Liechtenstein,official
German,Switzerland,co-official with French and Italian
German,Belgium,co-official with French and Flemish
German,Hungary,co-official with Hungarian in the city of Sopron
German,Italy,co-official with Italian in South Tyrol
German,Lithuania,minority
German,Luxembourg,co-official with French and Luxembourgish
German,Poland,co-official as auxiliary language in the Opole Voivodeship
German,Vatican City,"official with other languages, language of the Swiss Guard"
German,France,minority in Alsace and Lorraine
German,Czech Republic,minority
German,Denmark,minority
German,Romania,minority
German,Russia,minority
German,Egypt,minority
German,Namibia,co-official as auxiliary language
German,Kazakhstan,minority
German,Lebanon,minority
German,Canada,minority
German,Costa Rica,minority
German,Guatemala,minority
German,Mexico,minority
German,United States,minority
German,Argentina,minority
German,Brazil,"official in some municipalities, see Brazilian German"
German,Chile,minority
German,Colombia,minority
German,Paraguay,minority
German,Peru,minority
German,Venezuela,minority (see: Colonia Tovar dialect)
Greek,Greece,official
Greek,Cyprus,co-official with Turkish
Greek,Albania,"significant minority, widely spoken
and co-official with Albanian in Himara,
Dropull, Finiq and Derviçan regions"
Greek,Lebanon,minority
Greek,North Macedonia,minority
Greek,Russia,minority
Greek,Ukraine,minority
Greek,Turkey,minority
Greek,Egypt,minority
Greek,Italy,minority
Greek,Armenia,minority
Greek,Romania,minority
Greek,Hungary,minority
Greek,Syria,minority
Greek,United States,minority
Greek,Australia,minority
Balochi,Afghanistan,minority
Balochi,Bahrain,minority
Balochi,Iran,significant minority in Balochistan
Balochi,Oman,minority
Balochi,Pakistan,Majority in Balochistan
Balochi,United Arab Emirates,minority
Persian,Afghanistan,"co-official as Dari, with Pashto"
Persian,Bahrain,minority
Persian,Germany,minority
Persian,Iran,official
Persian,Iraq,significant minority
Persian,Kazakhstan,"minority, as Tajik"
Persian,Kyrgyzstan,"minority, as Tajik"
Persian,Pakistan,"minority, as Dari and Hazaragi"
Persian,Tajikistan,"official, as Tajik"
Persian,Russia,minority
Persian,Qatar,minority
Persian,United Arab Emirates,minority
Persian,United States,minority
Persian,Uzbekistan,"minority, as Tajik"
Ossetic,Russia,majority in North Ossetia-Alania
Ossetic,South Ossetia,majority
Ossetic,Georgia,minority
Caucasian Tat,Russia,minority in Dagestan
Caucasian Tat,Azerbaijan,minority
Tajik,Kazakhstan,"minority, as Tajik"
Tajik,Kyrgyzstan,"minority, as Tajik"
Tajik,Pakistan,minority
Tajik,Tajikistan,"official, as Tajik"
Tajik,Russia,minority
Kurdish,Armenia,recognized minority
Kurdish,Iran,regional
Kurdish,Iraq,co-official with Arabic
Kurdish,Syria,significant minority
Kurdish,Turkey,significant minority
Gilan,Iran,"unofficial, in Gilan, Māzandarān and Qhazvin Province"
Talysh,Azerbaijan,minority
Talysh,Iran,minority
Pashto,Afghanistan,co-official with Dari
Pashto,Pakistan,majority in Khyber Pakhtunkhwa and FATA
Pashto,United Arab Emirates,minority
Bengali,Bangladesh,official
Bengali,India,"official, along with 21 others; primarily spoken in the Indian states of West 
Bengal, Tripura, Assam, with significant minority in Bihar, Jharkhand and 
Orissa"
Bengali,Saudi Arabia,significant minority
Bengali,United Arab Emirates,significant minority
Bengali,Qatar,minority
Bengali,Kuwait,minority
Bengali,Malaysia,minority
Bengali,Singapore,minority
Bengali,Pakistan,"minority. Mostly used in Karachi, where it holds the status as that of a 
recognized secondary language"
Bengali,Italy,minority
Bengali,United Kingdom,significant minority
Bengali,United States,minority[a]
Bengali,Canada,minority
Bengali,Australia,minority
Domari,Algeria,minority
Domari,Egypt,minority
Domari,Morocco,minority
Domari,Sudan,minority
Domari,Tunisia,minority
Domari,India,minority
Domari,Iran,significant minority
Domari,Pakistan,minority
Domari,Libya,minority
Domari,Syria,minority
Domari,Turkey,minority
Domari,Israel,minority
Domari,Afghanistan,minority
Domari,Bangladesh,minority
Domari,Jordan,minority
Domari,Iraq,minority
Domari,Lebanon,minority
Domari,Uzbekistan,minority
Domari,Armenia,minority
Domari,Azerbaijan,minority
Domari,Georgia,minority
Domari,Turkmenistan,minority
Domari,Kazakhstan,minority
Domari,Tajikistan,minority
Domari,Kuwait,minority
Domari,Kyrgyzstan,minority
Domari,Russia,minority
Romani,Bangladesh,minority
Romani,India,minority
Romani,Pakistan,minority
Romani,Iran,minority
Romani,Afghanistan,minority
Romani,Uzbekistan,minority
Romani,Kazakhstan,minority
Romani,Turkmenistan,minority
Romani,Tajikistan,minority
Romani,Kyrgyzstan,minority
Romani,Armenia,minority
Romani,Albania,minority
Romani,Austria,minority
Romani,Belarus,minority
Romani,Belgium,minority
Romani,Bosnia and Herzegovina,minority
Romani,Bulgaria,significant minority
Romani,Croatia,minority
Romani,Cyprus,minority
Romani,Czech Republic,minority
Romani,Denmark,minority
Romani,Estonia,minority
Romani,Finland,officially recognised minority language
Romani,France,minority
Romani,Germany,officially recognised minority language
Romani,Greece,minority
Romani,Hungary,"significant minority, officially recognised minority language"
Romani,Ireland,minority
Romani,Italy,minority
Romani,Kosovo,officially recognized minority language
Romani,Latvia,minority
Romani,Lithuania,minority
Romani,Macedonia,official in Šuto Orizari Municipality
Romani,Moldova,minority
Romani,Montenegro,minority
Romani,Netherlands,minority
Romani,Norway,officially recognised minority language
Romani,Poland,minority
Romani,Portugal,minority
Romani,Romania,co-official in 79 rural communes
Romani,Russia,officially recognised minority language
Romani,Serbia,officially recognised minority language
Romani,Slovakia,minority
Romani,Slovenia,officially recognised minority language
Romani,Spain,minority
Romani,Sweden,officially recognised minority language
Romani,Switzerland,minority
Romani,Turkey,minority
Romani,Ukraine,minority
Romani,United Kingdom,minority
Romani,United States,minority
Romani,Canada,minority
Hindi,India,"one of the two union languages of India alongside English, official along 
with 21 others; official in the Indian states of Bihar, Chhattisgarh, 
Haryana, Himachal Pradesh, Jharkhand, Madhya Pradesh, Rajasthan, Uttar 
Pradesh, and Uttarakhand."
Hindi,Bangladesh,more than half of the population can understand and speak
Hindi,Indonesia,"minority, 90,000"
Hindi,Malaysia,"minority, 58,000"
Hindi,Nepal,significant minority
Hindi,Pakistan,more than half of the population can understand and speak
Hindi,Yemen,minority
Hindi,United Arab Emirates,minority
Hindi,Saudi Arabia,minority
Hindi,Fiji,Fiji Hindi is an official language
Hindi,Australia,minority
Hindi,New Zealand,"minority, 20,000 speakers"
Hindi,South Africa,"significant minority, 436,000 speakers"
Hindi,Mauritius,"minority, 37,000 speakers"
Hindi,Tanzania,"minority, 66,000 speakers"
Hindi,Uganda,"minority, 5,300 speakers"
Hindi,United Kingdom,minority
Hindi,Canada,"minority, 268,000 speakers "
Hindi,United States,"minority, 650,000 speakers"
Hindi,Suriname,minority
Hindi,Guyana,minority
Hindi,Trinidad and Tobago,minority
Gujarati,India,"official in Gujarat, Daman and Diu and Dadra and Nagar Haveli"
Gujarati,Pakistan,significant minority
Gujarati,Kenya,minority
Gujarati,Mauritius,minority
Gujarati,Tanzania,minority
Gujarati,Uganda,minority
Gujarati,Zimbabwe,minority
Gujarati,South Africa,minority
Gujarati,Canada,minority
Gujarati,United States,minority
Gujarati,United Kingdom,significant minority
Gujarati,Australia,minority
Angika,India,"majority in Anga, significant minority in the rest of the country"
Angika,Nepal,"minority language, in Terai region"
Assamese,Bhutan,minority
Assamese,India,official language along with 21 others
Assamese,United Kingdom,minority
Assamese,United States,minority
Awadhi,Bhutan,minority
Awadhi,Guyana,minority
Awadhi,Fiji,minority
Awadhi,India,"majority in Uttar Pradesh, minority in Bihar, Madhya Pradesh, and Delhi"
Awadhi,Nepal,minority
Awadhi,Trinidad and Tobago,minority
Awadhi,South Africa,minority
Awadhi,Suriname,minority
Awadhi,United States,minority
Bhili,India,minority
Bhojpuri,Fiji,minority
Bhojpuri,Guyana,minority
Bhojpuri,India,"in Bihar, Jharkhand, and Uttar Pradesh"
Bhojpuri,Mauritius,minority
Bhojpuri,Nepal,minority
Bhojpuri,United Kingdom,minority
Bhojpuri,United States,minority
Bhojpuri,Suriname,minority
Bhojpuri,Trinidad and Tobago,minority
Bhojpuri,Seychelles,minority
Bhojpuri,South Africa,minority
Bhojpuri,Australia,minority
Bishnupriya Manipuri,Bangladesh,minority
Bishnupriya Manipuri,India,"minority, mostly in Manipur, Assam and Tripura"
Bishnupriya Manipuri,Myanmar,minority
Chakma,Bangladesh,"minority, mostly in Chittagong Division"
Chakma,India,"minority, mostly in Tripura, Mizoram, Arunachal Pradesh"
Chhattisgarhi,India,"majority in Chhattisgarh, minority in Madhya Pradesh, Orissa, and Bihar"
Chittagonian,Bangladesh,"significant minority, major language of Chittagong Division of Bangladesh"
Chittagonian,Myanmar,"minority, mostly in Arakan and Yangon"
Chittagonian,Oman,minority
Chittagonian,Saudi Arabia,minority
Chittagonian,United Arab Emirates,minority
Chittagonian,Qatar,minority
Chittagonian,Kuwait,minority
Chittagonian,Pakistan,"minority, mostly in Karachi"
Chittagonian,United Kingdom,minority
Chittagonian,United States,minority
Dhivehi,India,in Lakshadweep
Dhivehi,Maldives,official
Dogri,Pakistan,"in Punjab, and Azad Kashmir"
Dogri,India,"in Jammu and Kashmir(India), Punjab, and Himachal Pradesh"
Hajong,India,"minority, mostly in Assam, Meghalaya, Arunachal Pradesh and West Bengal"
Hajong,Bangladesh,minority
Halbi,India,"in Madhya Pradesh, Chhattisgarh, and Andhra Pradesh"
Kalasha-ala,Afghanistan,minority
Kalasha-mun,Pakistan,minority
Kashmiri,India,"official, spoken in Delhi, Jammu and Kashmir(India), Punjab, and Uttar 
Pradesh"
Kashmiri,Pakistan,spoken in POK
Kashmiri,United Kingdom,"minority, mostly by immigrants from Kashmir"
Khandeshi,India,"minority, spoken in Maharashtra, Gujarat"
Khowar,Pakistan,"majority in Chitral, minority in Gilgit"
Kumaoni(Doteli),India,"majority in Uttarakhand, minority in Assam"
Kumaoni(Doteli),Nepal,significant majority in Sudurpashchim Pradesh
Lomavren,Armenia,minority
Lomavren,Azerbaijan,minority
Lomavren,Bulgaria,minority
Lomavren,Georgia,minority
Lomavren,Iran,minority
Lomavren,Russia,minority
Lomavren,Syria,minority
Magadhi,India,official in Bihar
Maithili,India,official in Bihar
Maithili,Nepal,significant minority in Terai
Mal Paharia,India,"minority, mostly in Jharkhand and West Bengal"
Mal Paharia,Bangladesh,minority
Marathi,India,"official along with 21 others, widely spoken in Maharashtra, Dadra and 
Nagar Haveli, Daman and Diu."
Marathi,Pakistan,minority in Sindh
Marathi,Israel,minority
Marathi,Mauritius,minority
Marathi,Singapore,minority
Marathi,United States,Significant minority
Marathi,United Kingdom,Significant minority
Marathi,Australia,Significant minority
Marathi,New Zealand,Significant minority
Marathi,South Africa,Significant minority
Marathi,United Arab Emirates,Significant minority
Marathi,Bahrain,Significant minority
Marwari,India,"primarily in Rajasthan and Gujarat and it is also spoken in west Bengal, 
Bihar, Jharkhand, Eastern U.P., Assam, and northeastern states"
Marwari,Pakistan,minority
Nepali,Bhutan,unofficial
Nepali,Hong Kong,unofficial
Nepali,India,"official in Sikkim, regional language in West Bengal"
Nepali,Myanmar,unofficial
Nepali,Nepal,official
Nepali,United Kingdom,unofficial
Oriya,Bangladesh,minority
Oriya,India,official in Orissa
Punjabi,India,"official with others, in Punjab"
Punjabi,Pakistan,majority in Punjab
Punjabi,United Kingdom,significant minority
Punjabi,Canada,minority
Punjabi,United States,minority
Rajasthani,India,"official along with others, in Rajasthan"
Rajasthani,Pakistan,minority
Rajbanshi,India,minority
Rajbanshi,Bangladesh,minority
Rajbanshi,Nepal,minority
Rohingya,Bangladesh,"minority, mostly in Chittagong Division, Bangladesh"
Rohingya,India,minority
Rohingya,Malaysia,minority
Rohingya,Myanmar,"minority, mostly in Arakan, Myanmar"
Rohingya,Oman,minority
Rohingya,Pakistan,"minority, mostly in Karachi"
Rohingya,Saudi Arabia,minority
Rohingya,Thailand,minority
Rohingya,United Arab Emirates,minority
Sindhi,Hong Kong,minority
Sindhi,India,official with others
Sindhi,Oman,minority
Sindhi,Pakistan,majority in Sindh
